Code INSEE;Commune;geo_point_2d;Code Postal;Code Département;Région
42151;MORNAND-EN-FOREZ;45.6717929888,4.11953674559;42600;42;RHONE-ALPES
55217;GOUSSAINCOURT;48.4821493618,5.67287004446;55140;55;LORRAINE
19236;SAINT-PRIEST-DE-GIMEL;45.3086188465,1.8936669424;19800;19;LIMOUSIN
42033;LE CERGNE;46.1207669259,4.30390743723;42460;42;RHONE-ALPES
64305;LAHONTAN;43.5208233379,-0.968131907041;64270;64;AQUITAINE
51150;CHERVILLE;49.0033010144,4.15123028739;51150;51;CHAMPAGNE-ARDENNE
27614;SANCOURT;49.3535843441,1.67606825753;27150;27;HAUTE-NORMANDIE
67031;BERNARDSWILLER;48.4473498624,7.45350882919;67210;67;ALSACE
21392;MARTROIS;47.3068577261,4.54607714165;21320;21;BOURGOGNE
69009;ANSE;45.9422570443,4.70796670026;69480;69;RHONE-ALPES
52030;AUTIGNY-LE-PETIT;48.4816592371,5.15235006309;52300;52;CHAMPAGNE-ARDENNE
27353;IRREVILLE;49.0984880529,1.19967557825;27930;27;HAUTE-NORMANDIE
56016;BIEUZY;47.9996986994,-3.03463534674;56310;56;BRETAGNE
74064;CHATILLON-SUR-CLUSES;46.0893520244,6.57817291187;74300;74;RHONE-ALPES
39442;PRENOVEL;46.5232922266,5.84404596927;39150;39;FRANCHE-COMTE
8255;LINAY;49.6161969407,5.22890359934;8110;8;CHAMPAGNE-ARDENNE
41128;MAROLLES;47.652671241,1.31004193193;41330;41;CENTRE
57368;KNUTANGE;49.3372900264,6.03313873426;57240;57;LORRAINE
89016;ARGENTENAY;47.822524019,4.11478245867;89160;89;BOURGOGNE
53032;BLANDOUET;48.0614087758,-0.317876875641;53270;53;PAYS DE LA LOIRE
38279;NOTRE-DAME-DE-MESAGE;45.0706423659,5.75220646667;38220;38;RHONE-ALPES
2792;VEUILLY-LA-POTERIE;49.0832976282,3.2188650234;2810;2;PICARDIE
65038;ARTIGUES;43.0732762022,-0.00153356995654;65100;65;MIDI-PYRENEES
22103;LANGROLAY-SUR-RANCE;48.5530223296,-2.01383816063;22490;22;BRETAGNE
22361;TREGUIDEL;48.6002375732,-2.94288237882;22290;22;BRETAGNE
43246;TIRANGES;45.2875962706,4.01198563489;43530;43;AUVERGNE
50334;MONTABOT;48.936758668,-1.13220070022;50410;50;BASSE-NORMANDIE
17394;SAINT-SATURNIN-DU-BOIS;46.1401428747,-0.665133364912;17700;17;POITOU-CHARENTES
57685;VAHL-LES-BENESTROFF;48.9192974745,6.78723850274;57670;57;LORRAINE
9256;SAINT-BAUZEIL;43.082423951,1.58105497045;9120;9;MIDI-PYRENEES
